Año,Trimestre,Provincia,Accesos por cada 100 hogares,KPI_Aumento_Acceso,Cumple_Meta_2%,Año_Trimestre
2016,3,Formosa,18.6397083028628,-3.7705714880913663,False,2016-T3
2016,4,Formosa,19.8482360781639,6.483619569923671,True,2016-T4
2017,1,Formosa,19.8424891786459,-0.028954207796450682,False,2017-T1
2017,2,Formosa,19.965076445262,0.6178018569768303,False,2017-T2
2017,3,Formosa,21.3503843800708,6.9386558003265435,True,2017-T3
2017,4,Formosa,21.2709766892497,-0.3719262820168315,False,2017-T4
2018,1,Formosa,21.4043102592114,0.6268333227457581,False,2018-T1
2018,2,Formosa,29.434226520797,37.51541705544988,True,2018-T2
2018,3,Formosa,29.5765734288784,0.4836101535769039,False,2018-T3
2018,4,Formosa,29.73653915732,0.5408528098302579,False,2018-T4
2019,1,Formosa,29.6776946304319,-0.19788626570423506,False,2019-T1
2019,2,Formosa,30.4182360069433,2.495279319142389,True,2019-T2
2019,3,Formosa,30.1124329977775,-1.0053278865217457,False,2019-T3
2019,4,Formosa,30.471313480544,1.1918016813619454,False,2019-T4
2020,1,Formosa,30.2283039626068,-0.7975026022175307,False,2020-T1
2020,2,Formosa,31.1394362262631,3.014169318872118,True,2020-T2
2020,3,Formosa,31.9056233101865,2.4605040321095917,True,2020-T3
2020,4,Formosa,32.4873819075967,1.8233732397400375,False,2020-T4
2021,1,Formosa,32.7329557563272,0.7559053217307038,False,2021-T1
2021,2,Formosa,33.2254841932261,1.5046867156312231,False,2021-T2
2021,3,Formosa,33.9620335406843,2.2168205079412093,True,2021-T3
2021,4,Formosa,34.4545746388443,1.4502697477463018,False,2021-T4
2022,1,Formosa,34.9556869957513,1.454414579659456,False,2022-T1
2022,2,Formosa,43.42,24.214408960915286,True,2022-T2
2022,3,Formosa,43.76,0.7830492860432895,False,2022-T3
2022,4,Formosa,39.41,-9.940585009140772,False,2022-T4
2023,1,Formosa,38.79,-1.5732047703628456,False,2023-T1
2023,2,Formosa,38.32,-1.2116524877545731,False,2023-T2
2023,3,Formosa,38.86,1.4091858037578266,False,2023-T3
2023,4,Formosa,39.23,0.9521358723623197,False,2023-T4
2024,1,Formosa,39.61,0.9686464440479291,False,2024-T1
2024,2,Formosa,39.69,0.2019691996970419,False,2024-T2
2014,1,Jujuy,18.4153524468777,,False,2014-T1
2014,2,Jujuy,18.7060609994136,1.5786206284919047,False,2014-T2
2014,3,Jujuy,18.3685342155704,-1.804371234830161,False,2014-T3
2014,4,Jujuy,19.5994181805212,6.7010462049139585,True,2014-T4
2015,1,Jujuy,19.6897136326236,0.4607047580225573,False,2015-T1
2015,2,Jujuy,20.2872190775949,3.0346070853021576,True,2015-T2
2015,3,Jujuy,21.2703333470887,4.84597847410021,True,2015-T3
2015,4,Jujuy,21.4714737939107,0.9456384323639618,False,2015-T4
2016,1,Jujuy,21.410011288564,-0.286251917016199,False,2016-T1
2016,2,Jujuy,21.8882810435767,2.233860358906792,True,2016-T2
2016,3,Jujuy,22.6051542652569,3.2751462769186785,True,2016-T3
2016,4,Jujuy,22.6513870082414,0.20452301471597586,False,2016-T4
2017,1,Jujuy,22.7569859622323,0.4661919994236048,False,2017-T1
2017,2,Jujuy,22.4034158946241,-1.5536770475448178,False,2017-T2
2017,3,Jujuy,22.6453629950826,1.0799562959350197,False,2017-T3
2017,4,Jujuy,22.742083716267,0.42711049147414104,False,2017-T4
2018,1,Jujuy,23.1212608756775,1.6672929540721055,False,2018-T1
2018,2,Jujuy,23.4322027298545,1.3448308716766202,False,2018-T2
2018,3,Jujuy,23.2637001371955,-0.7191069256340702,False,2018-T3
2018,4,Jujuy,46.5322663913268,100.02091720967474,True,2018-T4
2019,1,Jujuy,46.4084387403666,-0.2661113686551103,False,2019-T1
2019,2,Jujuy,44.511922790626,-4.086575634122733,False,2019-T2
2019,3,Jujuy,44.3224868429136,-0.4255847328893607,False,2019-T3
2019,4,Jujuy,45.3775463317507,2.3804158204759855,True,2019-T4
2020,1,Jujuy,46.6702306399878,2.848731173753675,True,2020-T1
2020,2,Jujuy,47.8878102278728,2.6088998729776076,True,2020-T2
2020,3,Jujuy,54.0444192382091,12.856317674665544,True,2020-T3
2020,4,Jujuy,53.4565912339089,-1.0876756797205218,False,2020-T4
2021,1,Jujuy,55.6324478962054,4.070324373613059,True,2021-T1
2021,2,Jujuy,56.1821570114677,0.9881088034952307,False,2021-T2
2021,3,Jujuy,55.6892647441935,-0.8773110423182808,False,2021-T3
2021,4,Jujuy,56.9210705148705,2.211926798343005,True,2021-T4
2022,1,Jujuy,58.0646286642678,2.0090243192080313,True,2022-T1
2022,2,Jujuy,57.32,-1.2824135474511955,False,2022-T2
2022,3,Jujuy,58.91,2.773900907187712,True,2022-T3
2022,4,Jujuy,58.46,-0.7638771006620196,False,2022-T4
2023,1,Jujuy,58.2,-0.4447485460143654,False,2023-T1
2023,2,Jujuy,57.78,-0.7216494845360854,False,2023-T2
2023,3,Jujuy,57.61,-0.2942194530979607,False,2023-T3
2023,4,Jujuy,57.78,0.2950876583926431,False,2023-T4
2024,1,Jujuy,57.65,-0.224991346486678,False,2024-T1
2024,2,Jujuy,58.3,1.1274934952298328,False,2024-T2
2014,1,La Pampa,48.425321038282,,False,2014-T1
2014,2,La Pampa,49.7075961603446,2.6479434613327903,True,2014-T2
2014,3,La Pampa,55.7812017385042,12.218666858416626,True,2014-T3
2014,4,La Pampa,51.2731334522286,-8.081698037645197,False,2014-T4
2015,1,La Pampa,55.5080323273377,8.259489112470133,True,2015-T1
2015,2,La Pampa,56.7076652253,2.161187935626889,True,2015-T2
2015,3,La Pampa,57.9639597509152,2.2153874976582713,True,2015-T3
2015,4,La Pampa,58.7563372001228,1.3670174581112675,False,2015-T4
2016,1,La Pampa,57.8408686550453,-1.5580762666662424,False,2016-T1
2016,2,La Pampa,60.4368602573793,4.4881615070757785,True,2016-T2
2016,3,La Pampa,61.7317854365091,2.1426082917199336,True,2016-T3
2016,4,La Pampa,63.016182768654,2.0806094025352566,True,2016-T4
2017,1,La Pampa,62.6692810457516,-0.5504962497902258,False,2017-T1
2017,2,La Pampa,63.4935264809968,1.315230399154343,False,2017-T2
2017,3,La Pampa,69.1399370114264,8.89289167474346,True,2017-T3
2017,4,La Pampa,71.0497610637856,2.7622588838106283,True,2017-T4
2018,1,La Pampa,71.751636922758,0.9878651925968962,False,2018-T1
2018,2,La Pampa,71.0403378727806,-0.9913349443764267,False,2018-T2
2018,3,La Pampa,71.7502365184484,0.9992895120221646,False,2018-T3
2018,4,La Pampa,73.4940482831421,2.4303916604446796,True,2018-T4
2019,1,La Pampa,76.3545743378065,3.8921873559665254,True,2019-T1
2019,2,La Pampa,77.083137502884,0.9541840438455034,False,2019-T2
2019,3,La Pampa,77.4526942329175,0.47942616505415037,False,2019-T3
2019,4,La Pampa,76.9241896917042,-0.6823578526835538,False,2019-T4
2020,1,La Pampa,75.766787812914,-1.5046006768856675,False,2020-T1
2020,2,La Pampa,76.1015828898756,0.44187576987991817,False,2020-T2
2020,3,La Pampa,79.2644770667028,4.156147686709916,True,2020-T3
2020,4,La Pampa,81.7679324894515,3.158357331547129,True,2020-T4
2021,1,La Pampa,81.7767634575221,0.010800038354567446,False,2021-T1
2021,2,La Pampa,82.080006723254,0.37081837542937685,False,2021-T2
2021,3,La Pampa,84.2799630965361,2.6802585198361397,True,2021-T3
2021,4,La Pampa,89.5673427024131,6.273590319232494,True,2021-T4
2022,1,La Pampa,91.6633253140871,2.3401192314456525,True,2022-T1
2022,2,La Pampa,92.98,1.436424743921602,False,2022-T2
2022,3,La Pampa,96.59,3.8825553882555384,True,2022-T3
2022,4,La Pampa,94.8,-1.8531939124132997,False,2022-T4
2023,1,La Pampa,96.55,1.8459915611814346,False,2023-T1
2023,2,La Pampa,98.35,1.8643190056965273,False,2023-T2
2023,3,La Pampa,99.0,0.6609049313675707,False,2023-T3
2023,4,La Pampa,99.96,0.9696969696969635,False,2023-T4
2024,1,La Pampa,100.49,0.5302120848339347,False,2024-T1
2024,2,La Pampa,101.17,0.6766842471887818,False,2024-T2
2014,1,La Rioja,16.2941048158375,,False,2014-T1
2014,2,La Rioja,16.5025648163457,1.279358411304571,False,2014-T2
2014,3,La Rioja,16.5067132740672,0.02513826043203732,False,2014-T3
2014,4,La Rioja,17.0107508872361,3.0535310379490688,True,2014-T4
2015,1,La Rioja,16.7032017874138,-1.807968983033353,False,2015-T1
2015,2,La Rioja,16.8831909819638,1.0775730116942344,False,2015-T2
2015,3,La Rioja,17.1511294420325,1.5870131443453763,False,2015-T3
2015,4,La Rioja,17.3157786484107,0.959990459722685,False,2015-T4
2016,1,La Rioja,16.8335183724942,-2.785091480484836,False,2016-T1
2016,2,La Rioja,16.8789026111115,0.26960637469262555,False,2016-T2
2016,3,La Rioja,17.0745591064841,1.159177820267755,False,2016-T3
2016,4,La Rioja,16.4553163840162,-3.626698168930992,False,2016-T4
2017,1,La Rioja,16.1955241460542,-1.5787738861973357,False,2017-T1
2017,2,La Rioja,16.2034458061436,0.04891265029744573,False,2017-T2
2017,3,La Rioja,51.465252304947,217.61918372593163,True,2017-T3
2017,4,La Rioja,51.5684744054618,0.2005665879245613,False,2017-T4
2018,1,La Rioja,51.4435101124481,-0.24232691475639573,False,2018-T1
2018,2,La Rioja,50.9778907392324,-0.9051080927369173,False,2018-T2
2018,3,La Rioja,50.7330431805956,-0.4803014700809606,False,2018-T3
2018,4,La Rioja,50.3479939174172,-0.7589713508959699,False,2018-T4
2019,1,La Rioja,50.1845878832627,-0.32455321739834003,False,2019-T1
2019,2,La Rioja,48.7049391442432,-2.9484126530268613,False,2019-T2
2019,3,La Rioja,47.9429051217464,-1.5645929055367058,False,2019-T3
2019,4,La Rioja,47.1358901105243,-1.6832834997644837,False,2019-T4
2020,1,La Rioja,46.346631384167,-1.6744326340430795,False,2020-T1
2020,2,La Rioja,49.8399350183955,7.537340967183844,True,2020-T2
2020,3,La Rioja,50.1181132363027,0.5581432194976248,False,2020-T3
2020,4,La Rioja,50.1106121170115,-0.014966882842998356,False,2020-T4
2021,1,La Rioja,49.8069351907935,-0.6060132043665537,False,2021-T1
2021,2,La Rioja,76.9786615851933,54.55410233597813,True,2021-T2
2021,3,La Rioja,77.2601606138685,0.3656844934406593,False,2021-T3
2021,4,La Rioja,77.9234900964576,0.8585660155487964,False,2021-T4
2022,1,La Rioja,78.774598665645,1.0922362026313992,False,2022-T1
2022,2,La Rioja,80.14,1.7333015432428662,False,2022-T2
2022,3,La Rioja,80.66,0.6488644871474869,False,2022-T3
2022,4,La Rioja,79.86,-0.9918175055789701,False,2022-T4
2023,1,La Rioja,79.74,-0.15026296018032123,False,2023-T1
2023,2,La Rioja,80.01,0.3386004514672815,False,2023-T2
2023,3,La Rioja,80.44,0.5374328208973785,False,2023-T3
2023,4,La Rioja,80.22,-0.2734957732471393,False,2023-T4
2024,1,La Rioja,80.03,-0.23684866616803507,False,2024-T1
2024,2,La Rioja,79.52,-0.6372610271148383,False,2024-T2
2014,1,Mendoza,31.9131229866058,,False,2014-T1
2014,2,Mendoza,32.0982381502412,0.5800596942928342,False,2014-T2
2014,3,Mendoza,32.3131795616557,0.6696361663479188,False,2014-T3
2014,4,Mendoza,32.6383818761503,1.0064076606082324,False,2014-T4
2015,1,Mendoza,32.3658875605183,-0.8348891702597357,False,2015-T1
2015,2,Mendoza,32.4919958318665,0.38963328631848754,False,2015-T2
2015,3,Mendoza,32.4919958318665,0.0,False,2015-T3
2015,4,Mendoza,32.4889524950014,-0.009366420212675121,False,2015-T4
2016,1,Mendoza,32.1233388880128,-1.1253474763301392,False,2016-T1
2016,2,Mendoza,32.1259717944259,0.008196241437655028,False,2016-T2
2016,3,Mendoza,32.0883588456665,-0.11707956727375615,False,2016-T3
2016,4,Mendoza,32.10735338479,0.059194486121465925,False,2016-T4
2017,1,Mendoza,31.8430127701797,-0.8233024112648457,False,2017-T1
2017,2,Mendoza,31.7586053613908,-0.2650735638555774,False,2017-T2
2017,3,Mendoza,35.7049317772057,12.426006655230786,True,2017-T3
2017,4,Mendoza,33.3256255341505,-6.663802798733174,False,2017-T4
2018,1,Mendoza,37.0721511024033,11.242176277872257,True,2018-T1
2018,2,Mendoza,36.9728727240613,-0.26779772791649686,False,2018-T2
2018,3,Mendoza,37.9905972679962,2.75262501653702,True,2018-T3
2018,4,Mendoza,37.7577838459117,-0.6128185362345501,False,2018-T4
2019,1,Mendoza,37.6571649702829,-0.2664851200998088,False,2019-T1
2019,2,Mendoza,40.7546242353627,8.225418104427549,True,2019-T2
2019,3,Mendoza,40.7371425873534,-0.042894882083424096,False,2019-T3
2019,4,Mendoza,33.6490307202718,-17.399629470531533,False,2019-T4
2020,1,Mendoza,33.1420767001727,-1.5065932338838153,False,2020-T1
2020,2,Mendoza,36.2522434211,9.3843447079799,True,2020-T2
2020,3,Mendoza,37.3486331372327,3.024336186307771,True,2020-T3
2020,4,Mendoza,38.6295789622782,3.429699342245887,True,2020-T4
2021,1,Mendoza,39.1536615289964,1.3566872350070556,False,2021-T1
2021,2,Mendoza,40.9732418261709,4.647280040021169,True,2021-T2
2021,3,Mendoza,45.548284680561,11.165928421772755,True,2021-T3
2021,4,Mendoza,47.5053170903177,4.296610560599058,True,2021-T4
2022,1,Mendoza,48.7352409355834,2.5890235464113385,True,2022-T1
2022,2,Mendoza,49.39,1.3435022621146793,False,2022-T2
